Pair,Rank,Total_PnL,Avg_PnL,Sharpe_Ratio,Num_Trades
AQUARON ACQUISITION CORP-ESH ACQUISITION CORP,4,-0.3247496297991097,-0.046392804257015675,-27.450114713645245,7
ATLANTIC UNION BANKSHARES CORP-HOPE BANCORP INC,8,-0.0023942380184548417,-0.0023942380184548417,,1
BROAD CAPITAL ACQUISITION CORP-QUETTA ACQUISITION CORP,6,-0.015879878551490645,-0.015879878551490645,,1
COMMUNITY BANK SYSTEM INC-ENTERPRISE FINANCIAL SVCS CORP,17,-0.09888320795383221,-0.09888320795383221,,1
COMMUNITY FINANCIAL SYSTEM INC-ENTERPRISE FINANCIAL SVCS CORP,18,-0.09888320795383221,-0.09888320795383221,,1
FIRST FINANCIAL BANCORP OHIO-FIRST HAWAIIAN INC,13,-0.008844717793952905,-0.008844717793952905,,1
FULTON FINANCIAL CORP PA-WSFS FINANCIAL CORP,20,0.011644425534685365,0.011644425534685365,,1
GOLDENSTONE ACQUISITION LTD-TRAILBLAZER MERGER CORP I,5,-0.07643506143481715,-0.01910876535870429,-32.76493176997706,4
GREAT SOUTHERN BANCORP INC-PEOPLES BANCORP INC,11,0.021958911652409152,0.021958911652409152,,1
HENNESSY CAPITAL INV CORP VI-DMY SQUARED TECHNOLOGY GROUP INC,3,-0.2125294069364504,-0.0531323517341126,-26.65158576453699,4
LOTTERY COM INC-URGENT LY INC,2,-0.29151095734731136,-0.14575547867365568,-16.847359735142867,2
MARBLEGATE ACQUISITION CORP-BELLEVUE LIFE SCIENCES ACQ CORP,1,-0.22157867139746723,-0.03692977856624454,-16.747859143707842,6
R F ACQUISITION CORP-FOUR LEAF ACQUISITION CORP,7,-0.022708038091745042,-0.022708038091745042,,1
REPUBLIC BANCORP INC KY-F B FINANCIAL CORP,14,0.017111099591499257,0.017111099591499257,,1
TRUSTCO BANK CORP NY-FIRST COMMONWEALTH FINANCIAL COR,9,-0.00578255874374789,-0.00578255874374789,,1
UNITED BANKSHARES INC-RENASANT CORP,15,-0.07085783503763932,-0.03542891751881966,-13.111124816331023,2
WESBANCO INC-FIRST MERCHANTS CORP,12,-0.13560184860735924,-0.06780092430367962,-441.5759444328757,2
WESTAMERICA BANCORPORATION-ORIGIN BANCORP INC,19,-0.0209770014222862,-0.0209770014222862,,1
WINVEST ACQUISITION CORP-GLOBAL STAR ACQUISITION INC,16,-0.7323612041479087,-0.045772575259244296,-39.48951261998887,16
YOTTA ACQUISITION CORP-GLOBAL BLOCKCHAIN ACQ CORP,10,-0.5612414263399164,-0.04008867330999403,-35.85847166977242,14
