permco_1,permco_2,ssd,comnam_1,ticker_1,naics_1,comnam_2,ticker_2,naics_2
59119,59704,0.008476553461362472,BROAD CAPITAL ACQUISITION CORP,BRAC,523910,QUETTA ACQUISITION CORP,QETA,523910
59230,59514,0.01589405251908641,R F ACQUISITION CORP,RFAC,523910,FOUR LEAF ACQUISITION CORP,FORL,523910
58710,59169,0.02679476399611378,BANNIX ACQUISITION CORP,BNIX,523910,BYNORDIC ACQUISITION CORP,BYNO,523910
59108,59412,0.03049248113172928,WELSBACH TECH METALS ACQ CORP,WTMA,561499,AQUARON ACQUISITION CORP,AQU,523910
59223,59530,0.034910993163302914,GOLDENSTONE ACQUISITION LTD,GDST,523910,TRAILBLAZER MERGER CORP I,TBMC,523910
58724,59385,0.05748780304496261,HENNESSY CAPITAL INV CORP VI,HCVI,523910,DMY SQUARED TECHNOLOGY GROUP INC,DMYY,523910
3200,21080,0.0706954829580475,NEW JERSEY RES,NJR,221210,SPIRE INC,SR,221210
59486,59590,0.07221210074045466,BELLEVUE LIFE SCIENCES ACQ CORP,BLAC,523910,ESH ACQUISITION CORP,ESHA,523910
21328,21376,0.0904060650436837,O G E ENERGY CORP,OGE,221118,P P L CORP,PPL,221118
1741,11106,0.09500902519251331,FIFTH THIRD BANCORP,FITB,522110,B O K FINANCIAL CORP,BOKF,522110
1620,3685,0.10147862913406594,REGIONS FINANCIAL CORP NEW,RF,522110,P N C FINANCIAL SERVICES GRP INC,PNC,522110
50861,55670,0.10209781479441182,HOME BANCSHARES INC,HOMB,551111,FIRST HAWAIIAN INC,FHB,522110
12461,15933,0.10563187363339852,ATLANTIC UNION BANKSHARES CORP,AUB,522110,HOPE BANCORP INC,HOPE,522110
58854,59291,0.10724277911718044,MARBLEGATE ACQUISITION CORP,GATE,523910,GLOBAL BLOCKCHAIN ACQ CORP,GBBK,523910
6748,21808,0.11103085038828955,ATMOS ENERGY CORP,ATO,221210,AMEREN CORP,AEE,221118
5926,29505,0.1128219801308163,TRUSTCO BANK CORP NY,TRST,522110,FIRST COMMONWEALTH FINANCIAL COR,FCF,522110
4980,21035,0.12749465160833062,ALLIANT ENERGY CORP,LNT,221122,EVERGY INC,EVRG,221118
21430,21890,0.1389299452759862,PORTLAND GENERAL ELECTRIC CO,POR,221118,AVISTA CORP,AVA,221118
10421,11950,0.13933464064406542,GREAT SOUTHERN BANCORP INC,GSBC,522110,PEOPLES BANCORP INC,PEBO,522110
9147,10218,0.1405812223813212,WESBANCO INC,WSBC,522110,FIRST MERCHANTS CORP,FRME,524126
59276,59398,0.1496779832551105,YOTTA ACQUISITION CORP,YOTA,523910,GLOBAL STAR ACQUISITION INC,GLST,523910
16300,37659,0.15377301288635706,C N B FINANCIAL CORP PA,CCNE,522110,BERKSHIRE HILLS BANCORP INC,BHLB,522110
16222,55705,0.15597851224294024,REPUBLIC BANCORP INC KY,RBCAA,522110,F B FINANCIAL CORP,FBK,522110
6827,15921,0.16142242821858405,SEACOAST BANKING CORP FLA,SBCF,522110,TIMBERLAND BANCORP INC,TSBK,522110
9213,11479,0.16520067464510485,UNITED BANKSHARES INC,UBSI,522110,RENASANT CORP,RNST,522110
41388,54861,0.16630059571848674,FIRST COMMUNITY BANCSHARES INC,FCBC,522110,FIRST MID BANCSHARES INC,FMBH,522110
511,54702,0.1735514692153428,BLACK HILLS CORP,BKH,221118,ONE GAS INC,OGS,211120
20361,20608,0.17630347219826853,C M S ENERGY CORP,CMS,221118,DUKE ENERGY CORP NEW,DUK,221118
11371,42912,0.17900189136784164,FIRST FINANCIAL CORP IN,THFF,522110,UNITED COMMUNITY BANKS INC GA,UCB,522110
21545,55488,0.17988250182806825,S J W GROUP,SJW,221310,R M R GROUP INC,RMR,531210
7871,46273,0.18698355626921376,COMMUNITY FINANCIAL SYSTEM INC,CBU,522110,ENTERPRISE FINANCIAL SVCS CORP,EFSC,522110
16107,53882,0.18891856193316392,SOUTHSIDE BANCSHARES INC,SBSI,522110,FARMERS NATIONAL BANC CORP,FMNB,522180
