permco_1,permco_2,ssd,comnam_1,ticker_1,comnam_2,ticker_2
56639,56781,0.0304374804399444,CARLOTZ INC,LOTZ,UPHEALTH INC,UPH
56835,56889,0.0543353001507982,TUSCAN HOLDINGS CORP II,THCA,BLADE AIR MOBILITY INC,BLDE
56930,56931,0.056539878023513,JUNIPER INDUSTRIAL HOLDINGS INC,JIH,BLACKSKY TECHNOLOGY INC,BKSY
56414,56950,0.0735409156898001,LANDSEA HOMES CORP,LSEA,LEAFLY HOLDINGS INC,LFLY
1658,9645,0.0749493512075101,TRUSTMARK CORP,TRMK,COMMUNITY TRUST BANCORP INC,CTBI
6281,16290,0.084964441657616,1ST SOURCE CORP,SRCE,FIRST BUSEY CORP,BUSE
10421,11950,0.1052093505498507,GREAT SOUTHERN BANCORP INC,GSBC,PEOPLES BANCORP INC,PEBO
8879,18304,0.1145582589962047,FIRST LONG ISLAND CORP,FLIC,LAKELAND BANCORP INC,LBAI
55562,56675,0.1274827739582539,ACACIA COMMUNICATIONS INC,ACIA,LIVEVOX HOLDING INC,LVOX
1940,11371,0.1423684492873469,ARROW FINANCIAL CORP,AROW,FIRST FINANCIAL CORP IN,THFF
3363,30958,0.1480852970271728,OLD REPUBLIC INTERNATIONAL CORP,ORI,HANOVER INSURANCE GROUP INC,THG
8534,44293,0.1550314295030033,F N B CORP PA,FNB,UNIVEST FINANCIAL CORP,UVSP
362,1645,0.1555602289034915,ASSOCIATED BANC CORP,ASB,U S BANCORP DEL,USB
9389,13092,0.1573551078709834,HORIZON BANCORP INC,HBNC,AMERIS BANCORP,ABCB
9280,16107,0.157877585580729,CITY HOLDING CO,CHCO,SOUTHSIDE BANCSHARES INC,SBSI
7676,17665,0.1597915231358436,BRYN MAWR BANK CORP,BMTC,MACATAWA BANK CORP,MCBC
16222,43261,0.1622938721591785,REPUBLIC BANCORP INC KY,RBCAA,WEST BANCORPORATION INC,WTBA
1689,56013,0.1659635209100082,M & T BANK CORP,MTB,R B B BANCORP,RBB
14091,14531,0.1701388442378305,BANNER CORP,BANR,SANDY SPRING BANCORP INC,SASR
4196,44272,0.1705062735419164,SONOCO PRODUCTS CO,SON,GRAPHIC PACKAGING HOLDING CO,GPK
15933,41460,0.1724819623187808,HOPE BANCORP INC,HOPE,CIVISTA BANCSHARES INC,CIVB
7460,9239,0.1756757119189338,SIMMONS 1ST NATIONAL CORP,SFNC,WASHINGTON TRUST BANCORP INC,WASH
1620,15547,0.1863023634860915,REGIONS FINANCIAL CORP NEW,RF,PACIFIC PREMIER BANCORP INC,PPBI
13413,55919,0.1873016802268009,NORTHWEST BANCSHARES INC,NWBI,PCSB FINANCIAL CORP,PCSB
5440,46281,0.1899317807475662,FULTON FINANCIAL CORP PA,FULT,KEARNY FINANCIAL CORP NEW,KRNY
4818,12462,0.1933860129022404,VALLEY NATIONAL BANCORP,VLY,Q C R HOLDINGS INC,QCRH
15307,44055,0.1952883717623081,CAPITAL CITY BANK GROUP,CCBG,HEARTLAND FINANCIAL USA INC,HTLF
50865,54567,0.196686293694276,SELECT BANCORP INC,SLCT,COMMUNITY FINANCIAL CORP MD,TCFC
39177,54006,0.1979587458527291,TTM TECHNOLOGIES INC,TTMI,ALLISON TRANSMISSION HLDGS INC,ALSN
31967,32054,0.1979812379148094,AMPHENOL CORP NEW,APH,AMETEK INC NEW,AME
16487,35205,0.2006577344545103,AMERICAN NATIONAL BANKSHARES INC,AMNB,MERCANTILE BANK CORP,MBWM
12561,56376,0.2049193088784131,OLD SECOND BANCORP INC,OSBC,ORIGIN BANCORP INC,OBK
21384,41680,0.2057427848710174,PEPSICO INC,PEP,MONDELEZ INTERNATIONAL INC,MDLZ
1856,2535,0.2058238641040435,FIRST HORIZON CORP,FHN,KEYCORP NEW,KEY
20596,55585,0.2069101901643505,DOVER CORP,DOV,FORTIVE CORP,FTV
7067,55525,0.2085592008364167,OLD NATIONAL BANCORP,ONB,NICOLET BANKSHARES INC,NIC
589,17183,0.2193873746513564,BANK OF HAWAII CORP,BOH,EAGLE BANCORP INC,EGBN
4980,20361,0.2222746422313208,ALLIANT ENERGY CORP,LNT,C M S ENERGY CORP,CMS
6736,52970,0.2243584408447207,FIRST FINANCIAL BANCORP OHIO,FFBC,MIDWESTONE FINANCIAL GRP INC NEW,MOFG
15918,16649,0.2259356161282647,HERITAGE FINANCIAL CORP WA,HFWA,FIRST BANCORP INC ME,FNLC
4375,20791,0.2269493580519845,TENNANT CO,TNC,GENERAL DYNAMICS CORP,GD
3685,20436,0.2289507358849821,P N C FINANCIAL SERVICES GRP INC,PNC,JPMORGAN CHASE & CO,JPM
56477,56605,0.2304811433249428,B M TECHNOLOGIES INC,BMTX,G C M GROSVENOR INC,GCMG
56655,56891,0.2314950515278538,AERSALE CORP,ASLE,A S T SPACEMOBILE INC,ASTS
43857,52920,0.231723003170835,PROVIDENT FINANCIAL SVCS INC,PFS,MERIDIAN BANCORP INC,EBSB
14778,56833,0.2321355600207404,PROVIDENT FINANCIAL HOLDINGS INC,PROV,PIONEER BANCORP INC,PBFS
12461,42912,0.2353046588144838,ATLANTIC UNION BANKSHARES CORP,AUB,UNITED COMMUNITY BANKS INC GA,UCB
55006,55705,0.2355544011456813,CITIZENS FINANCIAL GROUP INC,CFG,F B FINANCIAL CORP,FBK
1261,8810,0.2360892684724752,COMERICA INC,CMA,WEBSTER FINANCIAL CORP,WBS
29956,55421,0.2376267178446721,BELDEN INC NEW,BDC,HEWLETT PACKARD ENTERPRISE CO,HPE
1367,9847,0.2387238772912107,OMNICOM GROUP INC,OMC,PEOPLES UNITED FINANCIAL INC,PBCT
21810,22075,0.2421330444787623,UNION PACIFIC CORP,UNP,IDEX CORP,IEX
32066,54048,0.2428622291317241,VALERO ENERGY CORP NEW,VLO,PHILLIPS 66,PSX
7720,16578,0.2432418599225323,INDEPENDENT BANK CORP MICH,IBCP,SIERRA BANCORP,BSRR
41007,54151,0.2446499526888416,PEAPACK GLADSTONE FINANCIAL CORP,PGC,HOMETRUST BANCSHARES INC,HTBI
10218,52785,0.2479938423808117,FIRST MERCHANTS CORP,FRME,TOWNEBANK,TOWN
5679,46103,0.2491025714486949,WAFD INC,WAFD,CITIZENS & NORTHERN CORP,CZNC
9804,34838,0.250498534832443,WASTE MANAGEMENT INC DEL,WM,REPUBLIC SERVICES INC,RSG
37138,54311,0.2509951012456628,METLIFE INC,MET,LIBERTY MEDIA CORP 3RD NEW,FWONK
92,3151,0.2529148830332176,AFLAC INC,AFL,BANK OF AMERICA CORP,BAC
2847,20965,0.2550608413571787,M G E ENERGY INC,MGEE,IDACORP INC,IDA
4162,30474,0.261288379407985,SNAP ON INC,SNA,RELIANCE INC,RS
30005,53266,0.2644693860413026,MARRIOTT INTERNATIONAL INC NEW,MAR,HYATT HOTELS CORP,H
21869,54861,0.2662462925236074,VISHAY INTERTECHNOLOGY INC,VSH,FIRST MID BANCSHARES INC,FMBH
16609,55480,0.2665781330542428,FINANCIAL INSTITUTIONS INC,FISI,EQUITY BANCSHARES INC,EQBK
10805,55691,0.267221350737876,CATHAY GENERAL BANCORP,CATY,CAPSTAR FINANCIAL HOLDINGS INC,CSTR
29505,51457,0.2683196040177599,FIRST COMMONWEALTH FINANCIAL COR,FCF,PRIMIS FINANCIAL CORP,FRST
4557,20557,0.2732962506819903,THERMO FISHER SCIENTIFIC INC,TMO,DANAHER CORP,DHR
53043,55508,0.2754511179136882,DIME COMMUNITY BANCSHRS INC NEW,DCOM,SMARTFINANCIAL INC,SMBK
