permco_1,permco_2,ssd,comnam_1,ticker_1,naics_1,comnam_2,ticker_2,naics_2
59704,59747,0.000352083294387,QUETTA ACQUISITION CORP,QETA,523910,IRON HORSE ACQUISITIONS CORP,IROH,523910
59169,59514,0.0007285288541219,BYNORDIC ACQUISITION CORP,BYNO,523910,FOUR LEAF ACQUISITION CORP,FORL,523910
59139,59828,0.001164207818877,PAPAYA GROWTH OPP CORP I,PPYA,561499,IB ACQUISITION CORP,IBAC,551112
58710,59276,0.0018331121449404,BANNIX ACQUISITION CORP,BNIX,523910,YOTTA ACQUISITION CORP,YOTA,523910
21206,47428,0.0023452991061352,ALLETE INC,ALE,221118,EVERI HOLDINGS INC,EVRI,561499
21041,59230,0.00303974625677,KELLANOVA,K,311211,R F ACQUISITION CORP,RFAC,523910
9147,12289,0.0031174348249205,WESBANCO INC,WSBC,522110,PREMIER FINANCIAL CORP,PFC,522180
4673,44055,0.0036225435256523,U M B FINANCIAL CORP,UMBF,522110,HEARTLAND FINANCIAL USA INC,HTLF,522110
16290,56860,0.0039686658128119,FIRST BUSEY CORP,BUSE,522110,CROSSFIRST BANKSHARES INC,CFB,522110
59023,59385,0.0041780947195651,HASHICORP INC,HCP,541511,DMY SQUARED TECHNOLOGY GROUP INC,DMYY,523910
59119,59530,0.0047400830985999,BROAD CAPITAL ACQUISITION CORP,BRAC,523910,TRAILBLAZER MERGER CORP I,TBMC,523910
58854,59291,0.0069968545633984,MARBLEGATE ACQUISITION CORP,GATE,523910,GLOBAL BLOCKCHAIN ACQ CORP,GBBK,523910
9213,9280,0.0081552649432316,UNITED BANKSHARES INC,UBSI,522110,CITY HOLDING CO,CHCO,522110
11479,50731,0.0085596460106281,RENASANT CORP,RNST,522110,FIRST BANCSHARES INC MS,FBMS,522110
55887,59223,0.0096425377731147,I C C HOLDINGS INC,ICCH,524126,GOLDENSTONE ACQUISITION LTD,GDST,523910
21035,21376,0.0100187030680529,EVERGY INC,EVRG,221118,P P L CORP,PPL,221118
3363,29870,0.0109915496647949,OLD REPUBLIC INTERNATIONAL CORP,ORI,524126,ALLSTATE CORP,ALL,524126
9645,10805,0.0112003639667246,COMMUNITY TRUST BANCORP INC,CTBI,522110,CATHAY GENERAL BANCORP,CATY,551111
3200,3306,0.011554162158966,NEW JERSEY RES,NJR,221210,NORTHWEST NATURAL HOLDING CO,NWN,221210
6281,13413,0.0116391390399013,1ST SOURCE CORP,SRCE,522110,NORTHWEST BANCSHARES INC,NWBI,551111
31896,54377,0.0120110162388388,SOUTHSTATE CORP,SSB,522110,INDEPENDENT BANK GROUP INC,IBTX,522110
15933,41388,0.0122014749413037,HOPE BANCORP INC,HOPE,522110,FIRST COMMUNITY BANCSHARES INC,FCBC,522110
6736,11950,0.012919595282413,FIRST FINANCIAL BANCORP OHIO,FFBC,522110,PEOPLES BANCORP INC,PEBO,522110
6333,20235,0.0129451494521451,PAYCHEX INC,PAYX,541219,AUTOMATIC DATA PROCESSING INC,ADP,518210
1620,2535,0.0130392739074655,REGIONS FINANCIAL CORP NEW,RF,522110,KEYCORP NEW,KEY,522110
8534,31854,0.0130969240679855,F N B CORP PA,FNB,522110,INTERNATIONAL BANCSHARES CORP,IBOC,522110
5926,12086,0.013203891238429,TRUSTCO BANK CORP NY,TRST,522110,TRICO BANCSHARES,TCBK,522110
34846,54861,0.0141510289679708,HERITAGE COMMERCE CORP,HTBK,522110,FIRST MID BANCSHARES INC,FMBH,522110
11371,44293,0.0146613333488935,FIRST FINANCIAL CORP IN,THFF,522110,UNIVEST FINANCIAL CORP,UVSP,522110
21543,21890,0.0147488498173139,EDISON INTERNATIONAL,EIX,221118,AVISTA CORP,AVA,221118
6827,57369,0.0149731555984849,SEACOAST BANKING CORP FLA,SBCF,522110,EASTERN BANKSHARES INC,EBC,522180
21018,21384,0.0150947115304412,JOHNSON & JOHNSON,JNJ,339112,PEPSICO INC,PEP,312111
57736,58607,0.0154009784870727,CEPTON INC,CPTN,336390,TEXAS COMMUNITY BANCSHARES INC,TCBS,551111
4980,21931,0.0156487555164274,ALLIANT ENERGY CORP,LNT,221122,W E C ENERGY GROUP INC,WEC,221118
46273,56557,0.0158847610010584,ENTERPRISE FINANCIAL SVCS CORP,EFSC,522110,BANK FIRST CORP,BFC,522110
1658,46284,0.0161481957704211,TRUSTMARK CORP,TRMK,522110,PREFERRED BANK LOS ANGELES,PFBC,522110
21244,21300,0.0164431326287313,NISOURCE INC,NI,221118,X C E L ENERGY INC,XEL,221118
9440,20841,0.0168455070844971,FASTENAL CO,FAST,423840,GRAINGER W W INC,GWW,423840
10954,55006,0.0169508378810957,HANCOCK WHITNEY CORP,HWC,522110,CITIZENS FINANCIAL GROUP INC,CFG,522110
13092,15547,0.0172278896053615,AMERIS BANCORP,ABCB,522110,PACIFIC PREMIER BANCORP INC,PPBI,522110
43857,52863,0.0174252979721169,PROVIDENT FINANCIAL SVCS INC,PFS,522180,NORTHFIELD BANCORP INC DE,NFBK,522180
3685,16313,0.0175042242790449,P N C FINANCIAL SERVICES GRP INC,PNC,522110,PROSPERITY BANCSHARES INC,PB,522110
8879,14751,0.0176766288317503,FIRST LONG ISLAND CORP,FLIC,522110,CONNECTONE BANCORP INC NEW,CNOB,522110
8766,53647,0.0182822635748307,WSFS FINANCIAL CORP,WSFS,522110,BANKUNITED INC,BKU,522110
