permco_1,permco_2,ssd,comnam_1,ticker_1,naics_1,comnam_2,ticker_2,naics_2
58040,58041,0.0005151787926504946,NORTHERN STAR INVEST CORP III,NSTC,523910,NORTHERN STAR INVEST CORP IV,NSTD,523910
57965,58160,0.00073778093982251,AEON BIOPHARMA INC,AEON,424210,TECH & ENERGY TRANSITION CORP,TETC,523910
57861,58949,0.0007533656751200695,FUSION ACQUISITION CORP II,FSNB,561499,INTELLIGENT MEDICINE ACQ CORP,IQMD,523910
58079,58155,0.0008158598885931799,ILEARNINGENGINES INC,AILE,523910,STRATIM CLOUD ACQUISITION CORP,SCAQ,523910
58078,58123,0.0008161984368092858,ENVOY MEDICAL INC,COCH,339113,KADEM SUSTAINABLE IMPACT CORP,KSI,523910
58140,58763,0.0009689765802369649,NEWBURY STREET ACQUISITION CORP,NBST,523910,ALPHA MODUS HOLDINGS INC,AMOD,561499
57689,58876,0.0010275647661218573,NORTHERN STAR INVEST CORP II,NSTB,523910,CERO THERAPEUTICS HOLDINGS INC,CERO,325414
58685,58757,0.0010480967644391197,CLEAN ENERGY SPECIAL SIT CORP,SWSS,523910,DIRECT SELLING ACQ CORP,DSAQ,561499
57855,58124,0.0010506398651280078,CHURCHILL CAPITAL CORP VI,CCVI,523910,KHOSLA VENTURES ACQUISITION CO,KVSA,523910
57851,58892,0.001068768953356669,ALLIANCE ENTERTAINMENT HLDG CORP,AENT,423990,MULTISENSOR AI HOLDINGS INC,MSAI,551112
58760,58944,0.0010933764990549977,QT IMAGING HOLDINGS INC,QTI,334510,FORTUNE RISE ACQUISITION CORP,FRLA,523910
57858,57976,0.001122447509678178,COMPUTE HEALTH ACQ CORP,CPUH,523910,SUSTAINABLE DEVELOPMENT ACQ I,SDAC,523910
58035,58097,0.0011730079097434498,LIVE OAK MOBILITY ACQ CORP,LOKM,523910,FORUM MERGER IV CORP,FMIV,523910
58830,59077,0.0012110014622672724,AVALON ACQUISITION INC,AVAC,523910,GLOBALINK INVESTMENT INC,GLLI,523910
57934,58093,0.0012320535753983296,FINSERV ACQUISITION CORP II,FSRX,523910,AMERICAN ONCOLOGY NETWORK INC,AONC,523910
58967,58977,0.0012491590946220148,MERCATO PARTNERS ACQ CORP,MPRA,523910,SEAPORT GLOBAL ACQ II CORP,SGII,561499
57786,58649,0.0012988266762591874,PRIVETERRA ACQUISITION CORP II,PMGM,523910,CASCADIA ACQUISITION CORP,CCAI,523910
58851,58985,0.0013601771371402238,DEVVSTREAM CORP,DEVS,523910,T G VENTURE ACQ CORP,TGVC,561499
57170,57443,0.0013974688690113293,ABACUS LIFE INC,ABL,523910,I G ACQUISITION CORP,IGAC,523910
58864,58992,0.0014388029000025914,MAXPRO CAPITAL ACQUISITION CORP,JMAC,523910,VISION SENSING ACQ CORP,VSAC,523910
