Pair,Rank,Total_PnL,Avg_PnL,Sharpe_Ratio,Num_Trades
AQUARON ACQUISITION CORP-ESH ACQUISITION CORP,7,-0.22578795015502173,-0.05644698753875543,-34.21228403887426,4
ATLANTIC UNION BANKSHARES CORP-HOPE BANCORP INC,11,-0.06833195935735459,-0.034165979678677294,-1137.388448832101,2
BANNIX ACQUISITION CORP-BYNORDIC ACQUISITION CORP,2,-0.0347667187419487,-0.0347667187419487,,1
BROAD CAPITAL ACQUISITION CORP-QUETTA ACQUISITION CORP,8,-0.12529722495069018,-0.012529722495069017,-38.90751714735361,10
C M E GROUP INC-ARTISAN PARTNERS ASSET MGMT INC,6,-0.25936684838676505,-0.08645561612892168,-20.29847111747878,3
C N B FINANCIAL CORP PA-BERKSHIRE HILLS BANCORP INC,19,-0.17932958704048363,-0.05977652901349454,-79.97764170456139,3
FIFTH THIRD BANCORP-B O K FINANCIAL CORP,10,-0.23594161647813916,-0.04718832329562783,-87.22604456097292,5
FIRST COMMUNITY BANCSHARES INC-FIRST MID BANCSHARES INC,15,-0.20308861941565093,-0.05077215485391273,-87.24337383011235,4
FIRST FINANCIAL BANCORP OHIO-FIRST HAWAIIAN INC,20,-0.014401575561696855,-0.014401575561696855,,1
FIRST FINANCIAL CORP IN-UNITED COMMUNITY BANKS INC GA,16,-0.01916636635884139,-0.01916636635884139,,1
GOLDENSTONE ACQUISITION LTD-TRAILBLAZER MERGER CORP I,9,-0.0682888576489562,-0.022762952549652066,-79.32037929876871,3
GREAT SOUTHERN BANCORP INC-PEOPLES BANCORP INC,13,-0.11468049112222833,-0.05734024556111417,-75.85118336506935,2
HENNESSY CAPITAL INV CORP VI-DMY SQUARED TECHNOLOGY GROUP INC,3,0.0002470400952279128,0.0002470400952279128,,1
MARBLEGATE ACQUISITION CORP-BELLEVUE LIFE SCIENCES ACQ CORP,5,-0.21888846717560306,-0.07296282239186769,-18.468209692523928,3
R F ACQUISITION CORP-FOUR LEAF ACQUISITION CORP,1,0.010328100091717474,0.010328100091717474,,1
REGIONS FINANCIAL CORP NEW-P N C FINANCIAL SERVICES GRP INC,4,-0.034700693108827396,-0.017350346554413698,-8.265408865532239,2
SEACOAST BANKING CORP FLA-TIMBERLAND BANCORP INC,18,-0.23196983831686524,-0.05799245957921631,-190.39510045644192,4
TRUSTCO BANK CORP NY-FIRST COMMONWEALTH FINANCIAL COR,12,0.05165541293669429,0.05165541293669429,,1
UNITED BANKSHARES INC-RENASANT CORP,14,-0.12264434644000555,-0.061322173220002774,-82.7379898690374,2
WINVEST ACQUISITION CORP-GLOBAL STAR ACQUISITION INC,17,-0.596163066719496,-0.049680255559958,-52.15584021174982,12
