Pair,Num_Trades,Total_PnL,Avg_PnL
IONQ INC-FINANCE OF AMERICA COMPANIES INC,1,54.848398169336384,54.848398169336384
E S S TECH INC-BETTER HOME & FINANCE HLDG CO,1,11.678867887872698,11.678867887872698
MARKETWISE INC-23ANDME HOLDING CO,1,8.00352206273259,8.00352206273259
VIRGIN GALACTIC HOLDINGS INC-GINKGO BIOWORKS HOLDINGS INC,1,6.607910491553568,6.607910491553568
RIGETTI COMPUTING INC-D WAVE QUANTUM INC,2,6.300721493497101,3.1503607467485506
TERAWULF INC-ROCKET LAB USA INC,1,4.0217558575088574,4.0217558575088574
CUSTOM TRUCK ONE SOURCE INC-BLACKSKY TECHNOLOGY INC,2,3.033129784907034,1.516564892453517
COMMSCOPE HOLDING CO INC-AURORA INNOVATION INC,1,1.7384189555008058,1.7384189555008058
QUANTUM SI INC-MOBIX LABS INC,1,1.4278347454271914,1.4278347454271914
CURIOSITYSTREAM INC-CLOVER HEALTH INVESTMENTS CORP,1,0.634090909090909,0.634090909090909
KINGSTONE COMPANIES INC-INTUITIVE MACHINES INC,1,0.5006647564469913,0.5006647564469913
OUSTER INC-DRILLING TOOLS INTL CORP,1,0.44294454856134935,0.44294454856134935
AIRJOULE TECHNOLOGIES CORP-HNR ACQUISITION CORP,1,0.4411025641025641,0.4411025641025641
MONTANA TECHNOLOGIES CORP-EON RESOURCES INC,1,0.4411025641025641,0.4411025641025641
MONTANA TECHNOLOGIES CORP-HNR ACQUISITION CORP,1,0.4411025641025641,0.4411025641025641
POWER & DIGITAL INFR ACQ II CORP-EON RESOURCES INC,1,0.4411025641025641,0.4411025641025641
AIRJOULE TECHNOLOGIES CORP-EON RESOURCES INC,1,0.4411025641025641,0.4411025641025641
POWER & DIGITAL INFR ACQ II CORP-HNR ACQUISITION CORP,1,0.4411025641025641,0.4411025641025641
EVE HOLDING INC-SAB BIOTHERAPEUTICS INC,1,0.41044448010269585,0.41044448010269585
BRIDGE INVESTMENT GP HLDGS INC-FINWISE BANCORP,1,0.29097339610389095,0.29097339610389095
COHEN & CO INC NEW-BLEND LABS INC,1,0.23110088174273857,0.23110088174273857
SABLE OFFSHORE CORP-AVEANNA HEALTHCARE HOLDINGS INC,1,0.19268337296506344,0.19268337296506344
FLAME ACQUISITION CORP-AVEANNA HEALTHCARE HOLDINGS INC,1,0.19268337296506344,0.19268337296506344
HAMILTON LANE INC-T P G INC,1,0.1585491166111419,0.1585491166111419
HIMS & HERS HEALTH INC-ROBINHOOD MARKETS INC,1,0.15714134125201895,0.15714134125201895
TITAN MACHINERY INC-LOOP INDUSTRIES INC,1,0.14599198581255646,0.14599198581255646
H C I GROUP INC-DRAFTKINGS INC,1,0.13618554205818478,0.13618554205818478
ELEVANCE HEALTH INC-MERCHANTS BANCORP,1,0.13334409754234244,0.13334409754234244
JASPER THERAPEUTICS INC-DIGITAL WORLD ACQUISITION CORP,1,0.10689311367952192,0.10689311367952192
JASPER THERAPEUTICS INC-TRUMP MEDIA & TECH GRP CORP,1,0.10689311367952192,0.10689311367952192
UNITY BANCORP INC-O P BANCORP,1,0.10568435738966464,0.10568435738966464
EVERCORE INC-ENOVA INTERNATIONAL INC,1,0.10114832478896352,0.10114832478896352
CENTENE CORP DEL-E2OPEN PARENT HOLDINGS INC,1,0.08349106401054451,0.08349106401054451
R L I CORP-ASSURANT INC,1,0.07920238820349312,0.07920238820349312
INDEPENDENT BANK GROUP INC-CARTER BANKSHARES INC,1,0.07917785349870132,0.07917785349870132
BERKLEY W R CORP-TRAVELERS COMPANIES INC,1,0.0785223573192958,0.0785223573192958
RIVERVIEW BANCORP INC-MAINSTREET BANCSHARES INC,2,0.07433212718454041,0.037166063592270204
ENCORE CAPITAL GROUP INC-HILLTOP HOLDINGS INC,1,0.07080549953621618,0.07080549953621618
FIRST BANCORP NC-TOWNEBANK,1,0.07063769606131443,0.07063769606131443
MEDALLION FINANCIAL CORP-ONITY GROUP INC,1,0.06779086572280013,0.06779086572280013
MEDALLION FINANCIAL CORP-OCWEN FINANCIAL CORP,1,0.06779086572280013,0.06779086572280013
NATIONAL BANK HOLDINGS CORP-EASTERN BANKSHARES INC,1,0.06556585568465434,0.06556585568465434
RAYMOND JAMES FINANCIAL INC-L P L FINANCIAL HOLDINGS INC,1,0.06382425281137438,0.06382425281137438
AMERIPRISE FINANCIAL INC-SKYWARD SPECIALTY INSUR GP INC,1,0.061253318765513765,0.061253318765513765
S & T BANCORP INC-CROSSFIRST BANKSHARES INC,1,0.05666958928602139,0.05666958928602139
TRUSTCO BANK CORP NY-FIRST COMMONWEALTH FINANCIAL COR,1,0.04788498326007362,0.04788498326007362
NORTHERN TRUST CORP-STATE STREET CORP,1,0.04116728571774231,0.04116728571774231
CIVISTA BANCSHARES INC-CHOICEONE FINANCIAL SERVICES INC,1,0.03801455414358612,0.03801455414358612
